Entity,Year,Code,"Share of total deaths that are from all causes attributed to unsafe water source, in both sexes aged age-standardized",wat_sm,wat_bas_minus_sm,wat_lim,wat_unimp,wat_sur,death_count - Cause: Diarrhoeal diseases - Sex: Both sexes - Age_group: ALLAges,wat_imp,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),wat_imp_number_without,san_od,Domestic general government health expenditure (% of GDP),wat_imp_urban,wat_imp_rural,wat_sm_number_without,"Physicians (per 1,000 people)"
Afghanistan,2002,AFG,1.4035218,11.73,18.51,3.95,41.69,24.12,14615.51,34.19,1280.4631,21000258,14874505,24.98,0.08418062,58.87,27.12,19950749,0.2360636363636364
Afghanistan,2003,AFG,1.5093122,12.51,19.76,4.24,40.21,23.28,15682.32,36.51,1292.3335,22645136,15034777,24.19,0.65096337,61.19,29.41,20717892,0.2360636363636364
Afghanistan,2004,AFG,1.4886155,13.31,21.02,4.52,38.72,22.42,14870.62,38.85,1260.0605,23553554,15119512,23.38,0.5429256,63.52,31.69,21436557,0.2360636363636364
Afghanistan,2005,AFG,1.3961205,14.11,22.29,4.81,37.23,21.56,13664.74,41.21,1352.3207,24411196,15081113,22.56,0.5291841,65.85,33.98,22035155,0.2360636363636364
Afghanistan,2006,AFG,1.2776254,14.91,23.57,5.1,35.73,20.69,11651.5,43.58,1366.9932,25442946,14914835,21.74,0.49784002,68.17,36.27,22492140,0.1596
Afghanistan,2007,AFG,1.1575379,16.09,24.78,5.06,34.23,19.83,12125.69,45.94,1528.3446,25903306,14651392,20.92,0.55994755,70.5,38.55,22739015,0.1743
Afghanistan,2008,AFG,1.0345142,17.32,25.99,4.99,32.73,18.97,11448.18,48.3,1556.8445,26427204,14332634,20.11,0.6277998,72.82,40.84,22920117,0.1744
Afghanistan,2009,AFG,0.9303762,18.26,27.52,4.88,31.23,18.11,10383.5,50.66,1823.7426,27385310,14009422,19.29,0.5319035,75.15,43.13,23208846,0.2126
Afghanistan,2010,AFG,0.86207974,19.12,29.17,4.74,29.72,17.25,10036.73,53.03,2026.1638,28189672,13709803,18.48,0.46915734,77.48,45.41,23606659,0.2365
Afghanistan,2011,AFG,0.79580134,19.97,30.86,4.56,28.22,16.39,9201.07,55.39,1961.0963,29249156,13435556,17.67,0.47999978,79.8,47.7,24103905,0.2518
Afghanistan,2012,AFG,0.73570555,20.82,32.58,4.35,26.71,15.54,8461.4,57.75,2122.8308,30466484,13164442,16.86,0.34288704,82.13,49.99,24673944,0.2414
Afghanistan,2013,AFG,0.7224874,21.67,34.34,4.11,25.2,14.68,8422.21,60.12,2165.3408,31541216,12869420,16.05,0.44335812,84.46,52.28,25276443,0.2846
Afghanistan,2014,AFG,0.6828052,22.52,36.14,3.83,23.68,13.83,7916.37,62.48,2144.4497,32716214,12519187,15.25,0.47265655,86.78,54.56,25854552,0.2983
Afghanistan,2015,AFG,0.64310074,23.38,37.96,3.51,22.17,12.98,7269.42,64.85,2108.714,33753500,12096044,14.44,0.52267283,89.11,56.85,26369007,0.285
Afghanistan,2016,AFG,0.61294925,24.23,39.83,3.16,20.65,12.13,6828.76,67.22,2101.422,34636212,11599319,13.64,0.60012823,91.44,59.14,26810000,0.2782
Afghanistan,2017,AFG,0.6076158,25.08,41.72,2.78,19.13,11.28,6161.28,69.59,2096.093,35643420,11037980,12.87,0.64313394,93.76,61.42,27191632,0.2360636363636364
Afghanistan,2018,AFG,0.49072447,25.94,43.66,2.36,17.6,10.43,5557.71,71.97,2060.699,36686788,10421014,12.17,0.54922014,96.09,63.71,27529335,0.2360636363636364
Afghanistan,2019,AFG,0.46424153,26.8,45.64,1.91,16.04,9.61,5555.32,74.35,2079.9219,37769496,9759093,11.48,1.0844309,98.41,66.0,27846964,0.2360636363636364
Albania,2000,ALB,0.054063827,49.14,37.62,9.78,2.54,0.92,51.04,96.54,5893.654,3182027,108379,0.89,2.7658305,99.56,94.37,1591587,1.3821
Albania,2001,ALB,0.05076959,49.08,37.82,9.68,2.57,0.85,41.58,96.58,6442.612,3153615,106949,0.84,2.753276,99.44,94.47,1593606,1.31
Albania,2002,ALB,0.04437472,48.98,38.47,9.19,2.59,0.77,35.35,96.64,6755.1094,3123554,104925,0.78,2.5886693,99.33,94.57,1594830,1.1695
Albania,2003,ALB,0.039278816,48.89,39.1,8.71,2.61,0.69,30.08,96.7,7155.2964,3092993,102886,0.73,2.6703534,99.22,94.68,1593761,1.1863
Albania,2004,ALB,0.036611553,50.72,37.79,8.24,2.63,0.62,25.06,96.75,7581.5063,3062629,100830,0.68,2.820827,99.1,94.78,1530163,1.1913
Albania,2005,ALB,0.034951657,52.58,36.44,7.78,2.66,0.54,21.77,96.8,8041.5435,3032636,98770,0.62,2.6653178,98.99,94.88,1463817,1.3017571428571428
Albania,2006,ALB,0.033204302,54.47,35.05,7.32,2.68,0.47,19.0,96.84,8570.107,3003391,96684,0.57,2.5593107,98.88,94.98,1394683,1.1838
Albania,2007,ALB,0.03196173,56.38,33.62,6.88,2.71,0.41,16.96,96.88,9151.78,2976089,94594,0.52,2.435714,98.76,95.08,1323311,1.1951
Albania,2008,ALB,0.030403046,58.33,32.15,6.44,2.74,0.34,15.28,96.92,9913.951,2951690,92593,0.47,2.271255,98.65,95.18,1251264,1.3017571428571428
Albania,2009,ALB,0.030101536,60.3,30.63,6.01,2.78,0.28,13.19,96.95,10315.777,2930553,90808,0.42,2.3380597,98.54,95.28,1180271,1.2297
Albania,2010,ALB,0.029334204,62.3,29.08,5.59,2.81,0.22,12.04,96.97,10751.421,2913402,89315,0.38,2.3787358,98.42,95.38,1111388,1.2347
Albania,2011,ALB,0.02909375,64.33,27.48,5.18,2.85,0.16,11.02,96.99,11054.788,2900660,88142,0.33,2.365564,98.31,95.49,1044708,1.2217
Albania,2012,ALB,0.028598413,66.38,25.85,4.78,2.89,0.1,10.54,97.01,11229.992,2892191,87260,0.28,2.4551888,98.2,95.59,979693,1.2683
Albania,2013,ALB,0.028041476,68.46,24.17,4.38,2.93,0.05,9.82,97.02,11363.318,2887019,86661,0.24,2.5777564,98.08,95.69,915860,1.2773
Albania,2014,ALB,0.026663803,70.56,22.46,4.0,2.98,0.0,9.35,97.02,11588.925,2884100,86292,0.14,2.5936172,97.97,95.79,852578,1.3017571428571428
Albania,2015,ALB,0.025395434,70.59,22.8,3.63,2.98,0.0,9.35,97.02,11880.598,2882482,86117,0.11,2.7313483,97.86,95.89,850046,1.3017571428571428
