Entity,Year,Code,"Share of total deaths that are from all causes attributed to unsafe water source, in both sexes aged age-standardized",wat_sm,wat_bas_minus_sm,wat_lim,wat_unimp,wat_sur,wat_imp,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),san_od,Domestic general government health expenditure (% of GDP),wat_imp_urban,wat_imp_rural,death_share_risk,income_class,death_share_diarrheal_disease,wat_imp_without_share,country_physicians_proportion
Afghanistan,2005,AFG,1.3961205,14.11,22.29,4.81,37.23,21.56,41.21,1352.3207,24411196,22.56,0.5291841,65.85,33.98,medium-risk from unsafe water,Middle Income,0.05597734744336165,61.779492491887744,0.02360636363636364
Afghanistan,2006,AFG,1.2776254,14.91,23.57,5.1,35.73,20.69,43.58,1366.9932,25442946,21.74,0.49784002,68.17,36.27,medium-risk from unsafe water,Middle Income,0.04579461828044598,58.62070768062786,0.015960000000000002
Afghanistan,2007,AFG,1.1575379,16.09,24.78,5.06,34.23,19.83,45.94,1528.3446,25903306,20.92,0.55994755,70.5,38.55,medium-risk from unsafe water,Middle Income,0.0468113606811424,56.56186125431248,0.01743
Afghanistan,2008,AFG,1.0345142,17.32,25.99,4.99,32.73,18.97,48.3,1556.8445,26427204,20.11,0.6277998,72.82,40.84,medium-risk from unsafe water,Middle Income,0.0433196792214568,54.234394224981195,0.017439999999999997
Afghanistan,2009,AFG,0.9303762,18.26,27.52,4.88,31.23,18.11,50.66,1823.7426,27385310,19.29,0.5319035,75.15,43.13,medium-risk from unsafe water,Middle Income,0.03791631352721587,51.15670408697217,0.02126
Afghanistan,2010,AFG,0.86207974,19.12,29.17,4.74,29.72,17.25,53.03,2026.1638,28189672,18.48,0.46915734,77.48,45.41,medium-risk from unsafe water,Middle Income,0.03560428088698584,48.63413451564814,0.023649999999999997
Afghanistan,2011,AFG,0.79580134,19.97,30.86,4.56,28.22,16.39,55.39,1961.0963,29249156,17.67,0.47999978,79.8,47.7,medium-risk from unsafe water,Middle Income,0.03145755727105425,45.93485022268677,0.025180000000000004
Afghanistan,2012,AFG,0.73570555,20.82,32.58,4.35,26.71,15.54,57.75,2122.8308,30466484,16.86,0.34288704,82.13,49.99,medium-risk from unsafe water,Middle Income,0.02777281421774826,43.20958729599385,0.024139999999999998
Afghanistan,2013,AFG,0.7224874,21.67,34.34,4.11,25.2,14.68,60.12,2165.3408,31541216,16.05,0.44335812,84.46,52.28,medium-risk from unsafe water,Middle Income,0.02670223621055066,40.801914548887396,0.02846
Afghanistan,2014,AFG,0.6828052,22.52,36.14,3.83,23.68,13.83,62.48,2144.4497,32716214,15.25,0.47265655,86.78,54.56,medium-risk from unsafe water,Middle Income,0.024197084662669097,38.26600168344662,0.02983
Afghanistan,2015,AFG,0.64310074,23.38,37.96,3.51,22.17,12.98,64.85,2108.714,33753500,14.44,0.52267283,89.11,56.85,medium-risk from unsafe water,Middle Income,0.021536788777460115,35.83641400151095,0.028499999999999998
Afghanistan,2016,AFG,0.61294925,24.23,39.83,3.16,20.65,12.13,67.22,2101.422,34636212,13.64,0.60012823,91.44,59.14,medium-risk from unsafe water,Middle Income,0.019715666366749346,33.48899411979578,0.027820000000000004
Afghanistan,2017,AFG,0.6076158,25.08,41.72,2.78,19.13,11.28,69.59,2096.093,35643420,12.87,0.64313394,93.76,61.42,medium-risk from unsafe water,Middle Income,0.017285883341160865,30.967791530666812,0.02360636363636364
Afghanistan,2018,AFG,0.49072447,25.94,43.66,2.36,17.6,10.43,71.97,2060.699,36686788,12.17,0.54922014,96.09,63.71,medium-risk from unsafe water,Middle Income,0.01514907764615425,28.405359444386356,0.02360636363636364
Afghanistan,2019,AFG,0.46424153,26.8,45.64,1.91,16.04,9.61,74.35,2079.9219,37769496,11.48,1.0844309,98.41,66.0,medium-risk from unsafe water,Middle Income,0.014708483269143965,25.838557655098178,0.023606363636363637
Albania,2002,ALB,0.04437472,48.98,38.47,9.19,2.59,0.77,96.64,6755.1094,3123554,0.78,2.5886693,99.33,94.57,medium-risk from unsafe water,Middle Income,0.0011317236711771272,3.35915434789986,0.11695
Albania,2003,ALB,0.039278816,48.89,39.1,8.71,2.61,0.69,96.7,7155.2964,3092993,0.73,2.6703534,99.22,94.68,medium-risk from unsafe water,Middle Income,0.0009725207913499965,3.326422012594273,0.11863
Albania,2004,ALB,0.036611553,50.72,37.79,8.24,2.63,0.62,96.75,7581.5063,3062629,0.68,2.820827,99.1,94.78,medium-risk from unsafe water,Middle Income,0.0008182512475392872,3.292269484811905,0.11913
Albania,2005,ALB,0.034951657,52.58,36.44,7.78,2.66,0.54,96.8,8041.5435,3032636,0.62,2.6653178,98.99,94.88,medium-risk from unsafe water,Middle Income,0.0007178573359941648,3.2569025758449084,0.13017571428571428
Albania,2006,ALB,0.033204302,54.47,35.05,7.32,2.68,0.47,96.84,8570.107,3003391,0.57,2.5593107,98.88,94.98,medium-risk from unsafe water,Middle Income,0.0006326182638224594,3.2191612747058245,0.11837999999999999
Albania,2007,ALB,0.03196173,56.38,33.62,6.88,2.71,0.41,96.88,9151.78,2976089,0.52,2.435714,98.76,95.08,medium-risk from unsafe water,Middle Income,0.0005698754304726774,3.178466773003092,0.11951000000000002
Albania,2008,ALB,0.030403046,58.33,32.15,6.44,2.74,0.34,96.92,9913.951,2951690,0.47,2.271255,98.65,95.18,medium-risk from unsafe water,Middle Income,0.0005176695384677929,3.136948663308139,0.13017571428571428
Albania,2009,ALB,0.030101536,60.3,30.63,6.01,2.78,0.28,96.95,10315.777,2930553,0.42,2.3380597,98.54,95.28,medium-risk from unsafe water,Middle Income,0.0004500857005486677,3.098664313527174,0.12297
Albania,2010,ALB,0.029334204,62.3,29.08,5.59,2.81,0.22,96.97,10751.421,2913402,0.38,2.3787358,98.42,95.38,medium-risk from unsafe water,Middle Income,0.0004132625706991345,3.065660008471196,0.12346999999999998
Albania,2011,ALB,0.02909375,64.33,27.48,5.18,2.85,0.16,96.99,11054.788,2900660,0.33,2.365564,98.31,95.49,medium-risk from unsafe water,Middle Income,0.0003799135369191839,3.0386877469265614,0.12217
Albania,2012,ALB,0.028598413,66.38,25.85,4.78,2.89,0.1,97.01,11229.992,2892191,0.28,2.4551888,98.2,95.59,medium-risk from unsafe water,Middle Income,0.0003644295968004879,3.0170898118416107,0.12683
Albania,2013,ALB,0.028041476,68.46,24.17,4.38,2.93,0.05,97.02,11363.318,2887019,0.24,2.5777564,98.08,95.69,medium-risk from unsafe water,Middle Income,0.00034014324117714504,3.0017467844860044,0.12773
Albania,2014,ALB,0.026663803,70.56,22.46,4.0,2.98,0.0,97.02,11588.925,2884100,0.14,2.5936172,97.97,95.79,medium-risk from unsafe water,Middle Income,0.00032419125550431675,2.9919905689816577,0.13017571428571428
Albania,2015,ALB,0.025395434,70.59,22.8,3.63,2.98,0.0,97.02,11880.598,2882482,0.11,2.7313483,97.86,95.89,medium-risk from unsafe water,Middle Income,0.00032437323112512065,2.9875988817970067,0.13017571428571428
Albania,2016,ALB,0.024268674,70.62,23.14,3.26,2.98,0.0,97.02,12294.077,2881064,0.08,2.8037052,97.75,95.99,medium-risk from unsafe water,Middle Income,0.00031828518908292214,2.9895205382455927,0.12163999999999998
Albania,2017,ALB,0.02351158,70.64,23.47,2.9,2.99,0.0,97.01,12773.269,2879361,0.05,2.6750717,97.63,96.09,medium-risk from unsafe water,High Income,0.00031812613979282213,2.9982694076914984,0.13017571428571428
