Entity,Code,Year,6.3.1 - Proportion of safely treated domestic wastewater flows (%) - EN_WWT_WWDS
Algeria,DZA,2020,76.17
Algeria,DZA,2022,76.19
American Samoa,ASM,2020,69.01
American Samoa,ASM,2022,77.5
Andorra,AND,2020,100
Andorra,AND,2022,100
Argentina,ARG,2020,36.48
Argentina,ARG,2022,36.49
Armenia,ARM,2020,40.08
Armenia,ARM,2022,0.56
Asia (UN),,2022,50.04
Australia,AUS,2020,76.17
Australia,AUS,2022,95.82
Austria,AUT,2020,98.6
Austria,AUT,2022,98.21
Azerbaijan,AZE,2020,57.4
Azerbaijan,AZE,2022,41.34
Bahrain,BHR,2020,95.63
Bahrain,BHR,2022,93.27
Bangladesh,BGD,2020,16.01
Bangladesh,BGD,2022,17.52
Belarus,BLR,2020,56.47
Belarus,BLR,2022,80.31
Belgium,BEL,2020,91.79
Belgium,BEL,2022,85.07
Benin,BEN,2022,1.41
Bermuda,BMU,2020,1.5
Bermuda,BMU,2022,1.5
Bhutan,BTN,2020,40.99
Bhutan,BTN,2022,39.61
Bolivia,BOL,2020,58.29
Bosnia and Herzegovina,BIH,2020,46.8
Bosnia and Herzegovina,BIH,2022,65.31
Brazil,BRA,2020,33.03
Brazil,BRA,2022,43.41
Bulgaria,BGR,2020,79.19
Bulgaria,BGR,2022,72.09
Burkina Faso,BFA,2022,2.78
Cambodia,KHM,2022,46.79
Canada,CAN,2020,77.06
Canada,CAN,2022,68.89
Central African Republic,CAF,2020,0.57
Central and Southern Asia (UN),,2020,25.46
Central and Southern Asia (UN),,2022,23.99
Chad,TCD,2020,2.26
Chad,TCD,2022,2.32
Channel Islands,OWID_CIS,2020,91.33
Channel Islands,OWID_CIS,2022,93.53
Chile,CHL,2020,90.53
Chile,CHL,2022,89.1
China,CHN,2020,64.78
China,CHN,2022,61.67
Colombia,COL,2020,21.26
Colombia,COL,2022,18.77
Costa Rica,CRI,2020,23.27
Costa Rica,CRI,2022,25.43
Cote d'Ivoire,CIV,2022,16.81
Croatia,HRV,2020,60.32
Croatia,HRV,2022,33.97
Cuba,CUB,2020,24.18
Cuba,CUB,2022,34.04
Cyprus,CYP,2020,67.19
Cyprus,CYP,2022,72.63
Czechia,CZE,2020,90.13
Czechia,CZE,2022,91.29
Democratic Republic of Congo,COD,2020,12.26
Democratic Republic of Congo,COD,2022,15.53
Denmark,DNK,2020,95.94
Denmark,DNK,2022,98.79
Djibouti,DJI,2020,10.93
Djibouti,DJI,2022,11.14
Dominican Republic,DOM,2022,39.56
Eastern and South-Eastern Asia (UN),,2020,65.47
Eastern and South-Eastern Asia (UN),,2022,62.63
Ecuador,ECU,2020,31.11
Egypt,EGY,2020,45.55
Egypt,EGY,2022,73.84
El Salvador,SLV,2020,12.95
Estonia,EST,2020,91.06
Estonia,EST,2022,92.28
Eswatini,SWZ,2020,17.91
Eswatini,SWZ,2022,17.47
Ethiopia,ETH,2022,3.04
Europe (UN),,2020,76.48
Europe (UN),,2022,74.29
Europe and Northern America (UN),,2020,80.44
Europe and Northern America (UN),,2022,86.48
Faroe Islands,FRO,2020,0
Fiji,FJI,2022,39.79
Finland,FIN,2020,92.28
Finland,FIN,2022,89.74
France,FRA,2020,92.5
France,FRA,2022,87.94
French Guiana,GUF,2020,70.2
French Guiana,GUF,2022,71.78
Gambia,GMB,2020,11.15
Gambia,GMB,2022,10.55
Georgia,GEO,2020,45.99
Georgia,GEO,2022,48.76
Germany,DEU,2020,99.26
Germany,DEU,2022,98.96
Ghana,GHA,2020,12.13
Ghana,GHA,2022,11.82
Gibraltar,GIB,2020,100
Greece,GRC,2020,92.65
Greece,GRC,2022,89.68
Greenland,GRL,2020,97.23
Greenland,GRL,2022,0
Guinea-Bissau,GNB,2020,21.4
Guinea-Bissau,GNB,2022,19.12
Guyana,GUY,2022,32.48
Hong Kong,HKG,2020,85.66
Hong Kong,HKG,2022,91.12
Hungary,HUN,2020,89.56
Hungary,HUN,2022,82.05
Iceland,ISL,2020,73.47
Iceland,ISL,2022,3.05
India,IND,2020,26.56
India,IND,2022,20.71
Iran,IRN,2020,22.07
Iran,IRN,2022,25.23
Iraq,IRQ,2020,37.09
Iraq,IRQ,2022,41.96
Ireland,IRL,2020,83.42
Ireland,IRL,2022,51.86
Isle of Man,IMN,2022,84.91
Israel,ISR,2020,93.09
Israel,ISR,2022,97.35
Italy,ITA,2020,94.74
Italy,ITA,2022,70.22
Japan,JPN,2020,97.82
Japan,JPN,2022,91.67
Jordan,JOR,2020,82
Jordan,JOR,2022,76.83
Kazakhstan,KAZ,2020,35.67
Kazakhstan,KAZ,2022,36.34
Kenya,KEN,2022,11.36
Kingdom of the Netherlands,,2020,99.81
Kingdom of the Netherlands,,2022,99.79
Kiribati,KIR,2020,30.8
Kiribati,KIR,2022,33.23
Kuwait,KWT,2020,84.7
Kuwait,KWT,2022,100
Kyrgyzstan,KGZ,2020,18.89
Kyrgyzstan,KGZ,2022,19.01
Laos,LAO,2020,10.1
Laos,LAO,2022,10.25
Latin America and the Caribbean (UN),,2020,40.84
Latin America and the Caribbean (UN),,2022,45.92
Latvia,LVA,2020,93.15
Latvia,LVA,2022,87.42
Least Developed Countries (LDCs),,2020,22.25
Least Developed Countries (LDCs),,2022,17.47
Libya,LBY,2020,16.63
Libya,LBY,2022,14.41
Liechtenstein,LIE,2020,98.12
Lithuania,LTU,2020,93.35
Lithuania,LTU,2022,96.75
Luxembourg,LUX,2020,96.35
Luxembourg,LUX,2022,98.63
Macao,MAC,2020,69.5
Macao,MAC,2022,65.31
Madagascar,MDG,2020,9.3
Madagascar,MDG,2022,10.79
Malawi,MWI,2020,6.48
Malawi,MWI,2022,6.33
Malaysia,MYS,2020,87.82
Malaysia,MYS,2022,89.32
Mali,MLI,2022,6.12
Malta,MLT,2020,15.36
Malta,MLT,2022,1.08
Mauritius,MUS,2020,13.29
Mauritius,MUS,2022,19.06
Mexico,MEX,2020,60.09
Mexico,MEX,2022,64.35
Moldova,MDA,2020,38.49
Moldova,MDA,2022,46.16
Monaco,MCO,2020,96.8
Monaco,MCO,2022,96.77
Mongolia,MNG,2020,10.43
Mongolia,MNG,2022,26.14
Montenegro,MNE,2020,45.07
Montenegro,MNE,2022,55.28
Morocco,MAR,2020,36.14
Morocco,MAR,2022,44.63
Myanmar,MMR,2022,15.12
Nepal,NPL,2020,37.2
Nepal,NPL,2022,38.6
New Zealand,NZL,2020,85.14
New Zealand,NZL,2022,84.48
Nicaragua,NIC,2022,31.8
Niger,NER,2020,4
Niger,NER,2022,8.63
Nigeria,NGA,2020,48.29
Nigeria,NGA,2022,41.3
North Macedonia,MKD,2020,9.12
North Macedonia,MKD,2022,4.86
Northern Africa (UN),,2020,47.96
Northern Africa (UN),,2022,67.54
Northern America (UN),,2020,89.63
Northern America (UN),,2022,96.07
Norway,NOR,2020,75.66
Norway,NOR,2022,75.81
Oceania (UN),,2020,77.71
Oceania (UN),,2022,79.2
Pakistan,PAK,2022,38.11
Palestine,PSE,2020,48.36
Papua New Guinea,PNG,2022,5.06
Paraguay,PRY,2022,25.15
Peru,PER,2022,48.65
Philippines,PHL,2020,42.95
Philippines,PHL,2022,66.59
Poland,POL,2020,81.85
Poland,POL,2022,77.38
Portugal,PRT,2020,73.58
Portugal,PRT,2022,87.51
Puerto Rico,PRI,2020,32.5
Puerto Rico,PRI,2022,32.51
Qatar,QAT,2020,99.55
Qatar,QAT,2022,99.95
Reunion,REU,2020,74.16
Reunion,REU,2022,74.49
Romania,ROU,2020,48.32
Romania,ROU,2022,30.09
Russia,RUS,2020,12.92
Russia,RUS,2022,14.74
Samoa,WSM,2020,46.68
Samoa,WSM,2022,42.86
San Marino,SMR,2020,90.19
San Marino,SMR,2022,90.19
Saudi Arabia,SAU,2020,79.64
Saudi Arabia,SAU,2022,85.19
Senegal,SEN,2020,14.17
Senegal,SEN,2022,7.8
Serbia,SRB,2020,27.05
Serbia,SRB,2022,36.48
Sierra Leone,SLE,2020,8.39
Sierra Leone,SLE,2022,15.33
Singapore,SGP,2020,100
Singapore,SGP,2022,100
Slovakia,SVK,2020,79.79
Slovakia,SVK,2022,81.97
Slovenia,SVN,2020,67.21
Slovenia,SVN,2022,65.22
Small Island Developing States (SIDS),,2022,41.09
South Africa,ZAF,2020,61.29
South Africa,ZAF,2022,41.29
South Korea,KOR,2020,99.53
South Korea,KOR,2022,99.05
Spain,ESP,2020,86.02
Spain,ESP,2022,79.9
Sub-Saharan Africa (UN),,2020,27.6
Sub-Saharan Africa (UN),,2022,20.08
Suriname,SUR,2020,23.82
Suriname,SUR,2022,23.83
Sweden,SWE,2020,95.2
Sweden,SWE,2022,96.98
Switzerland,CHE,2020,99.2
Switzerland,CHE,2022,99.29
Tanzania,TZA,2022,7.67
